tab	specimens
specimen	sample	experiments	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	result_type	volume	weight	location	site
DeI2-3a	DeI2-3	DeI2-3a:LP-DIR-T		hem	108.9	37.1	3.0	5.0	0.0	11.3	3.4				943.0	873.0	K		hargrave 2014-10-14 19:05:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	DeI2
DeI2-3a	DeI2-3	DeI2-3a:LP-DIR-T		hem	129.3	21.7	3.0	5.0	-1.0	11.3	3.4				943.0	873.0	K		hargrave 2014-10-14 19:05:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	DeI2
DeI2-3a	DeI2-3	DeI2-3a:LP-DIR-T		HT	123.3	27.0	3.0	16.0	-1.0	9.4	4.8				848.0	473.0	K		hargrave 2014-10-14 19:05:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	DeI2
DeI2-3a	DeI2-3	DeI2-3a:LP-DIR-T		LT	184.3	58.7	3.0	6.0	-1.0	49.1	23.7				423.0	273.0	K		hargrave 2014-10-14 19:05:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	DeI2
DeI2-4a	DeI2-4	DeI2-4a:LP-DIR-T		LT	184.5	46.0	3.0	6.0	-1.0	53.5	12.8				423.0	273.0	K		hargrave 2014-10-14 19:07:01	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	DeI2
DeI2-4a	DeI2-4	DeI2-4a:LP-DIR-T		HT	121.3	24.2	3.0	16.0	-1.0	3.9	6.0				848.0	473.0	K		hargrave 2014-10-14 19:07:01	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	DeI2
DeI2-4a	DeI2-4	DeI2-4a:LP-DIR-T		hem	118.1	26.0	3.0	5.0	-1.0	4.2	5.7				943.0	873.0	K		hargrave 2014-10-14 19:07:01	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	DeI2
DeI2-4a	DeI2-4	DeI2-4a:LP-DIR-T		LT	183.4	73.8	3.0	6.0	0.0	53.5	12.8				423.0	273.0	K		hargrave 2014-10-14 19:07:01	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	DeI2
DeI2-4a	DeI2-4	DeI2-4a:LP-DIR-T		HT	98.3	35.7	3.0	16.0	0.0	3.9	6.0				848.0	473.0	K		hargrave 2014-10-14 19:07:01	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	DeI2
DeI2-4a	DeI2-4	DeI2-4a:LP-DIR-T		hem	94.2	35.8	3.0	5.0	0.0	4.2	5.7				943.0	873.0	K		hargrave 2014-10-14 19:07:01	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	DeI2
DeI2-6a	DeI2-6	DeI2-6a:LP-DIR-T		HT	72.8	46.3	3.0	16.0	0.0	11.6	4.0				848.0	473.0	K		hargrave 2014-10-14 19:08:40	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	DeI2
DeI2-6a	DeI2-6	DeI2-6a:LP-DIR-T		LT	211.4	66.1	3.0	6.0	-1.0	34.5	7.5				423.0	273.0	K		hargrave 2014-10-14 19:08:40	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	DeI2
DeI2-6a	DeI2-6	DeI2-6a:LP-DIR-T		HT	256.7	45.3	3.0	16.0	-1.0	11.6	4.0				848.0	473.0	K		hargrave 2014-10-14 19:08:40	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	DeI2
DeI2-6a	DeI2-6	DeI2-6a:LP-DIR-T		hem	284.0	23.9	3.0	5.0	-1.0	41.9	10.7				943.0	873.0	K		hargrave 2014-10-14 19:08:40	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	DeI2
DeI2-6a	DeI2-6	DeI2-6a:LP-DIR-T		LT	61.9	77.8	3.0	6.0	0.0	34.5	7.5				423.0	273.0	K		hargrave 2014-10-14 19:08:40	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	DeI2
DeI2-6a	DeI2-6	DeI2-6a:LP-DIR-T		hem	86.5	17.8	3.0	5.0	0.0	41.9	10.7				943.0	873.0	K		hargrave 2014-10-14 19:08:40	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	DeI2
DeI2-7a	DeI2-7																					This study		g	i			Slate Islands	DeI2
PI15-10a	PI15-10	PI15-10a:LP-DIR-T		HT	126.8	24.2	2.0	14.0	-1.0	0.8	1.5				873.0	523.0	K		hargrave 2014-10-14 18:22:28	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI15
PI15-10a	PI15-10	PI15-10a:LP-DIR-T		HT	83.2	36.3	2.0	14.0	0.0	0.8	1.5				873.0	523.0	K		hargrave 2014-10-14 18:22:28	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI15
PI15-10a	PI15-10	PI15-10a:LP-DIR-T		LT	178.7	24.2	2.0	6.0	-1.0	44.6	19.5				448.0	323.0	K		hargrave 2014-10-14 18:22:28	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI15
PI15-10a	PI15-10	PI15-10a:LP-DIR-T		LT	22.1	72.8	2.0	6.0	0.0	44.6	19.5				448.0	323.0	K		hargrave 2014-10-14 18:22:28	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI15
PI15-2a	PI15-2	PI15-2a:LP-DIR-T		HT	141.1	26.1	1.0	15.0	-1.0	1.5	2.2				848.0	473.0	K		hargrave 2014-10-14 18:15:59	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI15
PI15-2a	PI15-2	PI15-2a:LP-DIR-T		HT	78.9	52.7	1.0	15.0	0.0	1.5	2.2				848.0	473.0	K		hargrave 2014-10-14 18:15:59	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI15
PI15-6a	PI15-6	PI15-6a:LP-DIR-T		HT	138.6	-0.2	3.0	10.0	-1.0	19.0	2.9				823.0	573.0	K		hargrave 2014-10-14 18:17:41	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI15
PI15-6a	PI15-6	PI15-6a:LP-DIR-T		LT	185.6	20.8	3.0	7.0	-1.0	56.8	10.1				473.0	323.0	K		hargrave 2014-10-14 18:17:41	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI15
PI15-6a	PI15-6	PI15-6a:LP-DIR-T		hem	40.1	-53.7	3.0	6.0	-1.0	35.6	15.3				943.0	848.0	K		hargrave 2014-10-14 18:17:41	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI15
PI15-6a	PI15-6	PI15-6a:LP-DIR-T		HT	87.9	48.5	3.0	10.0	0.0	19.0	2.9				823.0	573.0	K		hargrave 2014-10-14 18:17:41	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI15
PI15-6a	PI15-6	PI15-6a:LP-DIR-T		LT	337.6	71.4	3.0	7.0	0.0	56.8	10.1				473.0	323.0	K		hargrave 2014-10-14 18:17:41	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI15
PI15-6a	PI15-6	PI15-6a:LP-DIR-T		hem	148.2	-29.6	3.0	6.0	0.0	35.6	15.3				943.0	848.0	K		hargrave 2014-10-14 18:17:41	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI15
PI15-7a	PI15-7	PI15-7a:LP-DIR-T		LT	189.3	24.9	2.0	7.0	-1.0	39.5	14.5				473.0	323.0	K		hargrave 2014-10-14 18:19:14	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI15
PI15-7a	PI15-7	PI15-7a:LP-DIR-T		HT	143.1	21.9	2.0	12.0	-1.0	2.4	2.1				873.0	573.0	K		hargrave 2014-10-14 18:19:14	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI15
PI15-7a	PI15-7	PI15-7a:LP-DIR-T		LT	334.3	74.4	2.0	7.0	0.0	39.5	14.5				473.0	323.0	K		hargrave 2014-10-14 18:19:14	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI15
PI15-7a	PI15-7	PI15-7a:LP-DIR-T		HT	76.5	53.4	2.0	12.0	0.0	2.4	2.1				873.0	573.0	K		hargrave 2014-10-14 18:19:14	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI15
PI15-8a	PI15-8	PI15-8a:LP-DIR-T		LT	179.3	28.4	2.0	7.0	-1.0	37.9	28.9				473.0	323.0	K		hargrave 2014-10-15 11:54:06	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI15
PI15-8a	PI15-8	PI15-8a:LP-DIR-T		HT	135.8	20.1	2.0	13.0	-1.0	1.8	2.2				873.0	573.0	K		hargrave 2014-10-15 11:54:06	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI15
PI15-8a	PI15-8	PI15-8a:LP-DIR-T		LT	6.2	77.6	2.0	7.0	0.0	37.9	28.9				473.0	323.0	K		hargrave 2014-10-15 11:54:06	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI15
PI15-8a	PI15-8	PI15-8a:LP-DIR-T		HT	80.7	47.9	2.0	13.0	0.0	1.8	2.2				873.0	573.0	K		hargrave 2014-10-15 11:54:06	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI15
PI16-10a	PI16-10	PI16-10a:LP-DIR-AF		HC	91.8	47.1	1.0	76.0	0.0	3.5	3.0				0.14	0.01	T		hargrave 2014-03-08 14:06:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-10a	PI16-10	PI16-10a:LP-DIR-AF		HC	203.0	23.9	1.0	76.0	-1.0	3.5	3.0				0.14	0.01	T		hargrave 2014-03-08 14:06:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-10b	PI16-10	PI16-10b:LP-DIR-T		HT	200.7	25.0	1.0	18.0	-1.0	3.3	4.1				833.0	423.0	K		hargrave 2016-02-01 08:51:16	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-10b	PI16-10	PI16-10b:LP-DIR-T		HT	89.2	48.7	1.0	18.0	0.0	3.3	4.1				833.0	423.0	K		hargrave 2016-02-01 08:51:16	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-11a	PI16-11	PI16-11a:LP-DIR-AF		HC	198.0	5.2	1.0	36.0	-1.0	2.0	9.1				0.14	0.035	T		hargrave 2014-03-08 16:21:20	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-11a	PI16-11	PI16-11a:LP-DIR-AF		HC	88.7	55.1	1.0	36.0	0.0	2.0	9.1				0.14	0.035	T		hargrave 2014-03-08 16:21:20	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-11b	PI16-11	PI16-11b:LP-DIR-T		HT	210.9	18.8	1.0	23.0	-1.0	3.0	5.9				853.0	373.0	K		hargrave 2016-02-01 08:52:57	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-11b	PI16-11	PI16-11b:LP-DIR-T		HT	122.1	57.8	1.0	23.0	0.0	3.0	5.9				853.0	373.0	K		hargrave 2016-02-01 08:52:57	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-12a	PI16-12	PI16-12a:LP-DIR-AF		HC	156.0	-2.7	1.0	55.0	-1.0	13.9	4.3				0.14	0.02	T		hargrave 2014-03-08 18:36:39	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-12a	PI16-12	PI16-12a:LP-DIR-AF		HC	20.4	32.5	1.0	55.0	0.0	13.9	4.3				0.14	0.02	T		hargrave 2014-03-08 18:36:39	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-12b	PI16-12	PI16-12b:LP-DIR-T		HT	189.7	13.6	1.0	12.0	-1.0	1.9	3.0				798.0	523.0	K		hargrave 2016-02-01 08:54:34	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-12b	PI16-12	PI16-12b:LP-DIR-T		HT	64.6	51.7	1.0	12.0	0.0	1.9	3.0				798.0	523.0	K		hargrave 2016-02-01 08:54:34	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-13a	PI16-13	PI16-13a:LP-DIR-AF		HC	163.0	33.6	1.0	56.0	-1.0	1.7	2.8				0.14	0.02	T		hargrave 2014-03-08 20:52:05	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-13a	PI16-13	PI16-13a:LP-DIR-AF		HC	69.7	63.1	1.0	56.0	0.0	1.7	2.8				0.14	0.02	T		hargrave 2014-03-08 20:52:05	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-13b	PI16-13	PI16-13b:LP-DIR-T		HT	175.1	25.4	1.0	13.0	-1.0	3.2	2.7				823.0	523.0	K		hargrave 2016-02-01 08:57:47	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-13b	PI16-13	PI16-13b:LP-DIR-T		HT	94.0	57.2	1.0	13.0	0.0	3.2	2.7				823.0	523.0	K		hargrave 2016-02-01 08:57:47	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-14a	PI16-14	PI16-14a:LP-DIR-AF		HC	86.6	46.6	1.0	70.0	0.0	2.3	1.9				0.14	0.013000000000000001	T		hargrave 2014-03-08 23:07:31	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-14a	PI16-14	PI16-14a:LP-DIR-AF		HC	255.8	72.8	1.0	70.0	-1.0	2.3	1.9				0.14	0.013000000000000001	T		hargrave 2014-03-08 23:07:31	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-14b	PI16-14	PI16-14b:LP-DIR-T		HT	258.2	72.4	1.0	17.0	-1.0	4.1	4.5				843.0	473.0	K		hargrave 2016-02-01 08:59:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-14b	PI16-14	PI16-14b:LP-DIR-T		HT	86.1	45.9	1.0	17.0	0.0	4.1	4.5				843.0	473.0	K		hargrave 2016-02-01 08:59:27	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-15a	PI16-15	PI16-15a:LP-DIR-AF		HC	70.8	68.9	1.0	41.0	0.0	7.4	12.9				0.14	0.03	T		hargrave 2014-03-09 01:22:47	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-15a	PI16-15	PI16-15a:LP-DIR-AF		HC	204.9	37.2	1.0	41.0	-1.0	7.4	12.9				0.14	0.03	T		hargrave 2014-03-09 01:22:47	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-16a	PI16-16	PI16-16a:LP-DIR-AF		HC	180.4	23.9	1.0	76.0	-1.0	8.1	4.4				0.14	0.01	T		hargrave 2014-03-09 04:38:34	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-16a	PI16-16	PI16-16a:LP-DIR-AF		HC	75.1	62.9	1.0	76.0	0.0	8.1	4.4				0.14	0.01	T		hargrave 2014-03-09 04:38:34	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-16b	PI16-16	PI16-16b:LP-DIR-T		HT	196.2	16.2	1.0	15.0	-1.0	6.3	7.0				853.0	573.0	K		hargrave 2016-02-01 09:01:03	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-16b	PI16-16	PI16-16b:LP-DIR-T		HT	100.6	52.8	1.0	15.0	0.0	6.3	7.0				853.0	573.0	K		hargrave 2016-02-01 09:01:03	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-17a	PI16-17	PI16-17a:LP-DIR-AF		HC	217.3	9.6	1.0	66.0	-1.0	10.3	5.9				0.14	0.015	T		hargrave 2014-03-09 06:53:45	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-17a	PI16-17	PI16-17a:LP-DIR-AF		HC	79.4	37.9	1.0	66.0	0.0	10.3	5.9				0.14	0.015	T		hargrave 2014-03-09 06:53:45	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-17b	PI16-17	PI16-17b:LP-DIR-T		HT	217.0	17.2	1.0	10.0	-1.0	32.6	4.2				798.0	573.0	K		hargrave 2016-02-01 09:02:35	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-17b	PI16-17	PI16-17b:LP-DIR-T		HT	84.2	44.6	1.0	10.0	0.0	32.6	4.2				798.0	573.0	K		hargrave 2016-02-01 09:02:35	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-18a	PI16-18	PI16-18a:LP-DIR-AF		HC	201.4	68.4	1.0	95.0	-1.0	20.1	3.6				0.14	0.0	T		hargrave 2014-03-09 09:08:51	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-18a	PI16-18	PI16-18a:LP-DIR-AF		HC	41.3	73.4	1.0	95.0	0.0	20.1	3.6				0.14	0.0	T		hargrave 2014-03-09 09:08:51	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-19a	PI16-19	PI16-19a:LP-DIR-AF		HC	24.9	77.2	1.0	66.0	-1.0	7.6	7.4				0.14	0.015	T		hargrave 2014-03-09 11:23:22	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-19a	PI16-19	PI16-19a:LP-DIR-AF		HC	92.8	56.0	1.0	66.0	0.0	7.6	7.4				0.14	0.015	T		hargrave 2014-03-09 11:23:22	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-19b	PI16-19	PI16-19b:LP-DIR-T		HT	17.8	70.5	1.0	16.0	-1.0	9.4	3.2				823.0	448.0	K		hargrave 2016-02-01 09:04:11	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-19b	PI16-19	PI16-19b:LP-DIR-T		HT	92.2	49.0	1.0	16.0	0.0	9.4	3.2				823.0	448.0	K		hargrave 2016-02-01 09:04:11	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-1a	PI16-1	PI16-1a:LP-DIR-AF		HC	87.2	60.1	1.0	56.0	0.0	8.6	6.5				0.14	0.02	T		hargrave 2014-03-07 20:02:19	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-1a	PI16-1	PI16-1a:LP-DIR-AF		HC	194.6	-8.2	1.0	56.0	-1.0	8.6	6.5				0.14	0.02	T		hargrave 2014-03-07 20:02:19	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-1b	PI16-1	PI16-1b:LP-DIR-T		HT	94.1	51.3	2.0	11.0	0.0	10.7	11.8				823.0	573.0	K		hargrave 2016-02-01 08:39:24	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
PI16-1b	PI16-1	PI16-1b:LP-DIR-T		LT	180.1	4.5	2.0	10.0	-1.0	26.2	8.5				523.0	273.0	K		hargrave 2016-02-01 08:39:24	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-1b	PI16-1	PI16-1b:LP-DIR-T		HT	202.7	-13.6	2.0	11.0	-1.0	10.7	11.8				823.0	573.0	K		hargrave 2016-02-01 08:39:24	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g	i			Slate Islands	PI16
PI16-1b	PI16-1	PI16-1b:LP-DIR-T		LT	57.8	76.5	2.0	10.0	0.0	26.2	8.5				523.0	273.0	K		hargrave 2016-02-01 08:39:24	pmagpy-3.13.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	i			Slate Islands	PI16
