tab 	er_locations
location_type	er_citation_names	continent_ocean	location_end_lat	location_begin_lon	er_location_name	location_description	location_begin_lat	location_end_lon
Region	10.1130/G37927.1:This study	North America	48.69098	272.942158	Slate Islands	Central uplift of impact crater	48.62924	273.044394
>>>>>>>>>>
tab 	er_samples
sample_dip	sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_lat	sample_bed_dip	er_location_name	sample_declination_correction	sample_height	magic_method_codes	sample_type	sample_azimuth	sample_lon	sample_class
-32	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-13	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	282.2	273.02519	Not Specified
-45	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-14	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	111.2	273.02519	Not Specified
-42	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-15	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	182.2	273.02519	Not Specified
-39	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-16	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	254.2	273.02519	Not Specified
-38	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-17	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	210.2	273.02519	Not Specified
-35	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-18	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	69.2	273.02519	Not Specified
-22	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-19	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	83.2	273.02519	Not Specified
-45	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-2	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	211.2	273.02519	Not Specified
-35	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-20	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	204.2	273.02519	Not Specified
-46	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-21	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	243.2	273.02519	Not Specified
-33	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-22	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	237.2	273.02519	Not Specified
-18	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-23	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	244.2	273.02519	Not Specified
-42	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-24	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	262.2	273.02519	Not Specified
-80	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-3	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	232.2	273.02519	Not Specified
-59	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-4	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	242.2	273.02519	Not Specified
-41	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-6	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	266.2	273.02519	Not Specified
-25	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-7	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	304.2	273.02519	Not Specified
-43	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-8	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	242.2	273.02519	Not Specified
-52	84.2	10.1130/G37927.1:This study	Breccia	PI16	PI16-9	Clast	48.672021	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	282.2	273.02519	Not Specified
-10	90.0	10.1130/G37927.1:This study	Schist	PI16H	PI16H-25		48.672021	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	143.1	273.02519	Metamorphic
-35	90.0	10.1130/G37927.1:This study	Schist	PI16H	PI16H-26		48.672021	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	301.1	273.02519	Metamorphic
-12	90.0	10.1130/G37927.1:This study	Schist	PI16H	PI16H-27		48.672021	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	291.1	273.02519	Metamorphic
-48	90.0	10.1130/G37927.1:This study	Schist	PI16H	PI16H-28		48.672021	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	253.1	273.02519	Metamorphic
-18	90.0	10.1130/G37927.1:This study	Schist	PI16H	PI16H-29		48.672021	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	255.1	273.02519	Metamorphic
-22	90.0	10.1130/G37927.1:This study	Schist	PI16H	PI16H-30		48.672021	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	251.1	273.02519	Metamorphic
-33	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-1	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	353.0	273.040675	Not Specified
-26	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-10	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	145.0	273.040675	Not Specified
-37	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-11	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	93.0	273.040675	Not Specified
-30	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-12	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	129.0	273.040675	Not Specified
-22	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-13	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	315.0	273.040675	Not Specified
-47	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-14	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	264.0	273.040675	Not Specified
-28	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-15	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	209.0	273.040675	Not Specified
-25	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-2	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	244.0	273.040675	Not Specified
-50	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-3	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	317.0	273.040675	Not Specified
-36	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-4	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	317.0	273.040675	Not Specified
-28	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-5	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	269.0	273.040675	Not Specified
-28	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-6	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	292.0	273.040675	Not Specified
-48	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-7	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	321.0	273.040675	Not Specified
-46	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-8	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	311.0	273.040675	Not Specified
-28	84.0	10.1130/G37927.1:This study	Breccia	PI22	PI22-9	Clast	48.66067	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	62.0	273.040675	Not Specified
-65	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-16		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	304.3	273.040675	Metamorphic
-99	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-17		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	333.7	273.040675	Metamorphic
-50	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-18		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	338.0	273.040675	Metamorphic
-24	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-19		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	309.9	273.040675	Metamorphic
-70	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-20		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	18.6	273.040675	Metamorphic
-37	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-21		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	307.5	273.040675	Metamorphic
-26	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-22		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	264.4	273.040675	Metamorphic
-22	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-23		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	232.4	273.040675	Metamorphic
-24	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-24		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	100.8	273.040675	Metamorphic
-35	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-25		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	234.8	273.040675	Metamorphic
-25	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-26		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	278.2	273.040675	Metamorphic
-39	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-27		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	174.1	273.040675	Metamorphic
-64	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-28		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	167.1	273.040675	Metamorphic
-56	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-29		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	163.1	273.040675	Metamorphic
-43	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-30		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	343.8	273.040675	Metamorphic
-38	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-31		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	353.1	273.040675	Metamorphic
-78	90.0	10.1130/G37927.1:This study	Schist	PI22H	PI22H-32		48.66067	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	334.1	273.040675	Metamorphic
-64	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-16		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	297.1	273.041143	Metamorphic
-67	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-17		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	281.3	273.041143	Metamorphic
-87	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-18		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	308.1	273.041143	Metamorphic
-45	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-19		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	269.1	273.041143	Metamorphic
-43	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-20		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	233.1	273.041143	Metamorphic
-72	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-21		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	312.0	273.041143	Metamorphic
-83	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-22		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	310.1	273.041143	Metamorphic
-53	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-23		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	259.9	273.041143	Metamorphic
-47	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-24		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	239.5	273.041143	Metamorphic
-29	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-25		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	294.1	273.041143	Metamorphic
-41	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-26		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	307.1	273.041143	Metamorphic
-37	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-27		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	263.1	273.041143	Metamorphic
-41	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-28		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	248.1	273.041143	Metamorphic
-31	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-29		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	290.1	273.041143	Metamorphic
-25	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-30		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	166.1	273.041143	Metamorphic
-11	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-31		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	26.1	273.041143	Metamorphic
-9	90.0	10.1130/G37927.1:This study	Schist	PI24H	PI24H-32		48.655551	0	Slate Islands	0	0	SO-CMD-NORTH	Baked Contact	41.1	273.041143	Metamorphic
-62	84.0	10.1130/G37927.1:This study	Breccia	PI24c	PI24c-1	Clast	48.655551	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	309.0	273.041143	Not Specified
-53	84.0	10.1130/G37927.1:This study	Breccia	PI24c	PI24c-2	Clast	48.655551	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	265.0	273.041143	Not Specified
-81	84.0	10.1130/G37927.1:This study	Breccia	PI24c	PI24c-3	Clast	48.655551	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	287.0	273.041143	Not Specified
-76	84.0	10.1130/G37927.1:This study	Breccia	PI24c	PI24c-4	Clast	48.655551	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	265.0	273.041143	Not Specified
-102	84.0	10.1130/G37927.1:This study	Breccia	PI24c	PI24c-6	Clast	48.655551	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	309.0	273.041143	Not Specified
-112	84.0	10.1130/G37927.1:This study	Breccia	PI24c	PI24c-7	Clast	48.655551	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	254.0	273.041143	Not Specified
-102	84.0	10.1130/G37927.1:This study	Breccia	PI24c	PI24c-8	Clast	48.655551	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	230.0	273.041143	Not Specified
-90	84.0	10.1130/G37927.1:This study	Breccia	PI24m	PI24m-10	Matrix	48.655551	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	294.0	273.041143	Not Specified
-72	84.0	10.1130/G37927.1:This study	Breccia	PI24m	PI24m-11	Matrix	48.655551	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	285.0	273.041143	Not Specified
-82	84.0	10.1130/G37927.1:This study	Breccia	PI24m	PI24m-12	Matrix	48.655551	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	301.0	273.041143	Not Specified
-88	84.0	10.1130/G37927.1:This study	Breccia	PI24m	PI24m-13	Matrix	48.655551	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	230.0	273.041143	Not Specified
-78	84.0	10.1130/G37927.1:This study	Breccia	PI24m	PI24m-14	Matrix	48.655551	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	260.0	273.041143	Not Specified
-120	84.0	10.1130/G37927.1:This study	Breccia	PI24m	PI24m-9	Matrix	48.655551	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	227.0	273.041143	Not Specified
-23	84.0	10.1130/G37927.1:This study	Breccia	PI26	PI26-1	Matrix	48.64875	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	349.0	273.044394	Not Specified
-32	84.0	10.1130/G37927.1:This study	Breccia	PI26	PI26-2	Matrix	48.64875	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	330.0	273.044394	Not Specified
-48	84.0	10.1130/G37927.1:This study	Breccia	PI26	PI26-3	Matrix	48.64875	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	353.0	273.044394	Not Specified
-61	84.0	10.1130/G37927.1:This study	Breccia	PI26	PI26-4	Matrix	48.64875	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	36.0	273.044394	Not Specified
-22	84.0	10.1130/G37927.1:This study	Breccia	PI26	PI26-5	Matrix	48.64875	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	50.0	273.044394	Not Specified
-25	84.0	10.1130/G37927.1:This study	Breccia	PI26	PI26-6	Matrix	48.64875	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	44.0	273.044394	Not Specified
-19	84.0	10.1130/G37927.1:This study	Breccia	PI26	PI26-7	Matrix	48.64875	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	353.0	273.044394	Not Specified
-25	84.0	10.1130/G37927.1:This study	Breccia	PI26	PI26-8	Matrix	48.64875	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	317.0	273.044394	Not Specified
-43	84.0	10.1130/G37927.1:This study	Breccia	PI26	PI26-9	Matrix	48.64875	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	329.0	273.044394	Not Specified
-47	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-1	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	83.2	272.94281	Not Specified
-23	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-10	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	82.2	272.94281	Not Specified
-22	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-11	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	130.2	272.94281	Not Specified
-21	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-12	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	93.2	272.94281	Not Specified
-46	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-13	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	323.2	272.94281	Not Specified
-43	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-14	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	340.2	272.94281	Not Specified
-22	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-15	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	197.2	272.94281	Not Specified
-20	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-16	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	230.2	272.94281	Not Specified
-20	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-17	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	258.2	272.94281	Not Specified
-30	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-19	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	107.2	272.94281	Not Specified
-21	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-20	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	246.2	272.94281	Not Specified
-16	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-22	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	170.2	272.94281	Not Specified
-42	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-24	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	71.2	272.94281	Not Specified
-25	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-25	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	104.2	272.94281	Not Specified
-28	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-3	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	79.2	272.94281	Not Specified
-34	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-4	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	38.2	272.94281	Not Specified
-54	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-6	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	116.2	272.94281	Not Specified
-36	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-7	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	11.2	272.94281	Not Specified
-42	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-8	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	61.2	272.94281	Not Specified
-28	84.2	10.1130/G37927.1:This study	Breccia	PI2c	PI2c-9	Clast	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	91.2	272.94281	Not Specified
-16	84.2	10.1130/G37927.1:This study	Breccia	PI2m	PI2m-1	Matrix	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	232.2	272.94281	Not Specified
-22	84.2	10.1130/G37927.1:This study	Breccia	PI2m	PI2m-5	Matrix	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	49.2	272.94281	Not Specified
-15	84.2	10.1130/G37927.1:This study	Breccia	PI2m	PI2m-6	Matrix	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	65.2	272.94281	Not Specified
-29	84.2	10.1130/G37927.1:This study	Breccia	PI2m	PI2m-7	Matrix	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	357.2	272.94281	Not Specified
-64	84.2	10.1130/G37927.1:This study	Breccia	PI2m	PI2m-8	Matrix	48.64653	0	Slate Islands	-5.8	0	SO-CMD-NORTH	Conglomerate	31.2	272.94281	Not Specified
-39	84.0	10.1130/G37927.1:This study	Breccia	PI31	PI31-1	Clast	48.635786	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	151.0	273.044372	Not Specified
-74	84.0	10.1130/G37927.1:This study	Breccia	PI31	PI31-10	Clast	48.635786	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	135.0	273.044372	Not Specified
-42	84.0	10.1130/G37927.1:This study	Breccia	PI31	PI31-12	Clast	48.635786	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	304.0	273.044372	Not Specified
-36	84.0	10.1130/G37927.1:This study	Breccia	PI31	PI31-13	Clast	48.635786	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	291.0	273.044372	Not Specified
-40	84.0	10.1130/G37927.1:This study	Breccia	PI31	PI31-14	Clast	48.635786	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	298.0	273.044372	Not Specified
-15	84.0	10.1130/G37927.1:This study	Breccia	PI31	PI31-16	Clast	48.635786	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	341.0	273.044372	Not Specified
-52	84.0	10.1130/G37927.1:This study	Breccia	PI31	PI31-17	Clast	48.635786	0	Slate Islands	-6	0	SO-CMD-NORTH	Conglomerate	84.0	273.044372	Not Specified
